"","age_year","family_index2","family_size","age_group"
"1",13,1,2,3
"2",40,1,2,9
"3",32,3,2,7
"4",31,3,2,7
"5",58,5,2,12
"6",63,5,2,13
"7",49,7,2,10
"8",26,7,2,6
"9",33,12,2,7
"10",63,12,2,13
"11",61,16,2,13
"12",57,16,2,12
"13",45,17,2,10
"14",42,17,2,9
"15",74,18,2,14
"16",71,18,2,14
"17",37,19,2,8
"18",63,19,2,13
"19",72,21,2,14
"20",55,21,2,12
"21",59,22,2,12
"22",59,22,2,12
"23",36,25,2,8
"24",7,25,2,2
"25",52,26,2,11
"26",26,26,2,6
"27",35,27,2,8
"28",30,27,2,7
"29",57,28,2,12
"30",23,28,2,5
"31",47,29,2,10
"32",45,29,2,10
"33",88,30,2,14
"34",64,30,2,13
"35",50,31,2,11
"36",53,31,2,11
"37",60,32,2,13
"38",62,32,2,13
"39",34,33,2,7
"40",35,33,2,8
"41",36,34,2,8
"42",49,34,2,10
"43",40,36,2,9
"44",36,36,2,8
"45",53,41,2,11
"46",53,41,2,11
"47",58,42,2,12
"48",29,42,2,6
"49",56,45,2,12
"50",54,45,2,11
"51",51,48,2,11
"52",29,48,2,6
"53",40,49,2,9
"54",37,49,2,8
"55",62,50,2,13
"56",71,50,2,14
"57",41,51,2,9
"58",42,51,2,9
"59",54,52,2,11
"60",55,52,2,12
"61",47,53,2,10
"62",48,53,2,10
"63",69,54,2,14
"64",45,54,2,10
"65",68,56,2,14
"66",43,56,2,9
"67",16,58,2,4
"68",43,58,2,9
"69",33,61,2,7
"70",29,61,2,6
"71",37,66,2,8
"72",37,66,2,8
"73",70,69,2,14
"74",45,69,2,10
"75",57,70,2,12
"76",57,70,2,12
"77",57,76,2,12
"78",59,76,2,12
"79",66,80,2,14
"80",68,80,2,14
"81",57,82,2,12
"82",65,82,2,14
"83",31,85,2,7
"84",54,85,2,11
"85",45,86,2,10
"86",72,86,2,14
"87",59,89,2,12
"88",56,89,2,12
"89",82,91,2,14
"90",77,91,2,14
"91",55,93,2,12
"92",83,93,2,14
"93",70,94,2,14
"94",43,94,2,9
"95",24,96,2,5
"96",49,96,2,10
"97",48,97,2,10
"98",56,97,2,12
"99",54,100,2,11
"100",50,100,2,11
"101",40,101,2,9
"102",41,101,2,9
"103",31,102,2,7
"104",30,102,2,7
"105",35,106,2,8
"106",33,106,2,7
"107",70,107,2,14
"108",66,107,2,14
"109",4,108,2,1
"110",39,108,2,8
"111",32,110,2,7
"112",37,110,2,8
"113",4,111,2,1
"114",34,111,2,7
"115",49,112,2,10
"116",48,112,2,10
"117",63,113,2,13
"118",70,113,2,14
"119",30,114,2,7
"120",26,114,2,6
"121",43,116,2,9
"122",43,116,2,9
"123",54,119,2,11
"124",18,119,2,4
"125",34,120,2,7
"126",4,120,2,1
"127",42,121,2,9
"128",41,121,2,9
"129",62,122,2,13
"130",67,122,2,14
"131",55,126,2,12
"132",57,126,2,12
"133",39,127,2,8
"134",38,127,2,8
"135",64,131,2,13
"136",46,131,2,10
"137",56,132,2,12
"138",57,132,2,12
"139",50,134,2,11
"140",85,134,2,14
"141",56,135,2,12
"142",33,135,2,7
"143",65,137,2,14
"144",44,137,2,9
"145",27,139,2,6
"146",55,139,2,12
"147",39,142,2,8
"148",65,142,2,14
"149",35,144,2,8
"150",36,144,2,8
"151",28,145,2,6
"152",54,145,2,11
"153",47,146,2,10
"154",49,146,2,10
"155",41,147,2,9
"156",47,147,2,10
"157",55,148,2,12
"158",56,148,2,12
"159",53,149,2,11
"160",47,149,2,10
"161",47,151,2,10
"162",52,151,2,11
"163",56,153,2,12
"164",57,153,2,12
"165",37,154,2,8
"166",57,154,2,12
"167",32,155,2,7
"168",79,155,2,14
"169",57,156,2,12
"170",37,156,2,8
"171",52,160,2,11
"172",54,160,2,11
"173",52,161,2,11
"174",26,161,2,6
"175",52,162,2,11
"176",18,162,2,4
"177",35,163,2,8
"178",68,163,2,14
"179",66,171,2,14
"180",52,171,2,11
"181",48,172,2,10
"182",67,172,2,14
"183",60,173,2,13
"184",56,173,2,12
"185",35,174,2,8
"186",29,174,2,6
"187",51,175,2,11
"188",48,175,2,10
"189",27,178,2,6
"190",49,178,2,10
"191",50,179,2,11
"192",46,179,2,10
"193",27,180,2,6
"194",31,180,2,7
"195",45,181,2,10
"196",39,181,2,8
"197",66,182,2,14
"198",71,182,2,14
"199",67,186,2,14
"200",64,186,2,13
"201",42,187,2,9
"202",40,187,2,9
"203",41,188,2,9
"204",38,188,2,8
"205",34,189,2,7
"206",34,189,2,7
"207",58,191,2,12
"208",57,191,2,12
"209",50,192,2,11
"210",55,192,2,12
"211",44,193,2,9
"212",42,193,2,9
"213",46,194,2,10
"214",48,194,2,10
"215",48,195,2,10
"216",13,195,2,3
"217",33,197,2,7
"218",32,197,2,7
"219",35,198,2,8
"220",33,198,2,7
"221",37,202,2,8
"222",57,202,2,12
"223",30,203,2,7
"224",29,203,2,6
"225",40,205,2,9
"226",36,205,2,8
"227",43,207,2,9
"228",16,207,2,4
"229",67,210,2,14
"230",36,210,2,8
"231",40,211,2,9
"232",39,211,2,8
"233",78,215,2,14
"234",47,215,2,10
"235",67,216,2,14
"236",65,216,2,14
"237",54,300,2,11
"238",51,300,2,11
"239",45,301,2,10
"240",46,301,2,10
"241",43,303,2,9
"242",37,303,2,8
"243",63,304,2,13
"244",5,304,2,2
"245",55,306,2,12
"246",55,306,2,12
"247",44,310,2,9
"248",39,310,2,8
"249",52,311,2,11
"250",53,311,2,11
"251",75,312,2,14
"252",57,312,2,12
"253",48,315,2,10
"254",48,315,2,10
"255",47,316,2,10
"256",49,316,2,10
"257",38,317,2,8
"258",42,317,2,9
"259",73,318,2,14
"260",54,318,2,11
"261",66,319,2,14
"262",29,319,2,6
"263",31,320,2,7
"264",27,320,2,6
"265",67,321,2,14
"266",71,321,2,14
"267",51,323,2,11
"268",53,323,2,11
"269",44,324,2,9
"270",52,324,2,11
"271",24,325,2,5
"272",49,325,2,10
"273",73,326,2,14
"274",39,326,2,8
"275",53,327,2,11
"276",56,327,2,12
"277",51,328,2,11
"278",51,328,2,11
"279",58,329,2,12
"280",55,329,2,12
"281",65,332,2,14
"282",65,332,2,14
"283",51,333,2,11
"284",55,333,2,12
"285",34,334,2,7
"286",29,334,2,6
"287",48,335,2,10
"288",11,335,2,3
"289",32,336,2,7
"290",64,336,2,13
"291",51,337,2,11
"292",46,337,2,10
"293",82,338,2,14
"294",52,338,2,11
"295",39,339,2,8
"296",41,339,2,9
"297",60,2,3,13
"298",37,2,3,8
"299",32,2,3,7
"300",33,6,3,7
"301",4,6,3,1
"302",10,6,3,3
"303",85,8,3,14
"304",62,8,3,13
"305",31,8,3,7
"306",51,9,3,11
"307",59,9,3,12
"308",63,9,3,13
"309",7,10,3,2
"310",31,10,3,7
"311",30,10,3,7
"312",37,13,3,8
"313",63,13,3,13
"314",29,13,3,6
"315",66,38,3,14
"316",62,38,3,13
"317",64,38,3,13
"318",53,39,3,11
"319",6,39,3,2
"320",36,39,3,8
