"","onset_date","time_gap","period"
"1",2020-01-08,17.6666666666667,"I"
"2",2020-01-09,19,"I"
"3",2020-01-10,14.8333333333333,"I"
"4",2020-01-11,18,"I"
"5",2020-01-12,14.25,"I"
"6",2020-01-13,12,"I"
"7",2020-01-14,11.625,"I"
"8",2020-01-15,12.7894736842105,"I"
"9",2020-01-16,11.75,"I"
"10",2020-01-17,9.71428571428571,"I"
"11",2020-01-18,8.68421052631579,"I"
"12",2020-01-19,8.80434782608696,"I"
"13",2020-01-20,8.01960784313725,"I"
"14",2020-01-21,7.63829787234043,"I"
"15",2020-01-22,7.97142857142857,"I"
"16",2020-01-23,6.44262295081967,"I"
"17",2020-01-24,6.17808219178082,"I"
"18",2020-01-25,5.84507042253521,"II"
"19",2020-01-26,5.53932584269663,"II"
"20",2020-01-27,4.83098591549296,"II"
"21",2020-01-28,5.71666666666667,"II"
"22",2020-01-29,4.29166666666667,"II"
"23",2020-01-30,4.41025641025641,"II"
"24",2020-01-31,3.7,"II"
"25",2020-02-01,4.125,"II"
"26",2020-02-02,3.27083333333333,"II"
"27",2020-02-03,2.40540540540541,"II"
"28",2020-02-04,2.2,"II"
"29",2020-02-05,2.75,"II"
"30",2020-02-06,2.36363636363636,"II"
"31",2020-02-07,2.66666666666667,"II"
"32",2020-02-08,2.2,"II"
"33",2020-02-09,1.46666666666667,"II"
"34",2020-02-10,1.2962962962963,"II"
"35",2020-02-11,1.33333333333333,"II"
"36",2020-02-12,0.909090909090909,"II"
"37",2020-02-13,0.6,"II"
"38",2020-02-14,1.5,"II"
"39",2020-02-15,2,"II"
"40",2020-02-16,1.5,"II"
"41",2020-02-17,1.33333333333333,"II"
"42",2020-02-18,0.5,"II"
"43",2020-02-19,0,"II"
"44",2020-02-20,0.5,"II"
"45",2020-02-21,0.5,"II"
"46",2020-02-22,1,"II"
"47",2020-02-23,0.25,"II"
